year,population,gdp,electricity_generation,primary_energy_consumption,renewables_electricity,renewables_percentage
1998,147672720.0,1259447386112.0,0.03160183154749595,0.043355429382207496,0.023855663867670313,19.168647344280053
1999,147336384.0,1369025019904.0,0.0323302922794433,0.04390431816278191,0.024155825006808167,18.972495494697036
2000,146844848.0,1540482793472.0,0.03184298349274437,0.04469459111902885,0.024706496570339263,19.701968877104157
2001,146235520.0,1650354421760.0,0.03221586736245676,0.04540200288519764,0.02619451344556401,20.646798619593703
2002,145590144.0,1773704445952.0,0.03235531676045371,0.04521732168631555,0.024456738429502755,19.19398261855281
2003,144946720.0,1946812547072.0,0.0331923952015806,0.04614671891527106,0.023535943356057312,18.00550190494826
2004,144353648.0,2135166287872.0,0.03385869588680438,0.04655328644586156,0.02657817805949961,19.93274883495255
2005,143800048.0,2320883253248.0,0.03445355263387629,0.04649017712313568,0.02610724855298258,19.241516966067866
2006,143338672.0,2565919997952.0,0.0360050704565218,0.04855355334389851,0.026223100220719994,18.494073704650845
2007,143117680.0,2852284792832.0,0.036712632881426864,0.04881004261762774,0.026781294619818458,18.523721811162105
2008,143086544.0,3070320967680.0,0.03763032453619035,0.04903489049030051,0.02492917250313326,16.822173714401746
2009,143163648.0,2897514594304.0,0.03592369313659481,0.04660348394563822,0.02634647472402478,18.623176075211642
2010,143242592.0,3099422883840.0,0.03756881397981361,0.048415023857659764,0.025198490016444915,17.031748937295337
2011,143364544.0,3300296753152.0,0.038182773384145385,0.05006340021048378,0.02510821598963654,16.69785173252219
2012,143629360.0,3421750689792.0,0.03876769674944218,0.05035955430691977,0.02510370228829612,16.4429596341848
2013,143956864.0,3473313366016.0,0.03837379995674394,0.049765870670336304,0.027389139733661527,18.124072838780975
2014,144285072.0,3559951171584.0,0.03853044174627476,0.0499204098257213,0.026557114119910987,17.502057490753685
2015,144668384.0,3463078477824.0,0.03862786529830003,0.049133587870137864,0.025485862335118247,16.753704033390697
2016,145109152.0,3461967511552.0,0.03950926190426979,0.05013774232352008,0.027998489414618074,17.994836239157554
2017,145452544.0,3524075192320.0,0.039624259900974124,0.05044152951298555,0.028081240605859082,17.99564186127234
2018,145652288.0,3613410459648.0,0.040023887490850306,0.05230081343059571,0.029038145290027878,18.423062237495227
2000,8109994.0,8053573120.0,4.202584597168322e-06,1.6282279611585348e-05,1.655023824820242e-05,100.0
2001,8223950.0,8517812224.0,3.438478306774081e-06,1.5991082069064608e-05,1.3541104021256523e-05,100.0
2002,8372310.0,9398588416.0,3.820531451971202e-06,1.6387606382284345e-05,1.5045671134729472e-05,100.0
2003,8567993.0,9366090752.0,4.584637742365441e-06,1.6300866688767527e-05,1.8054805361675363e-05,100.0
2004,8791855.0,9814557696.0,3.438478306774081e-06,1.56503189873914e-05,1.2036536907783577e-05,88.8888888888889
2005,9026297.0,10465366016.0,3.820531451971202e-06,1.5123685133896439e-05,9.027402680837681e-06,60.0
